BMGd:tileSourceFilename=Tiles2.png,tileSourceCol=19,tileSourceRow=8,tileWidth=32,tileHeight=32,tileCollides=True
BMdoor:tileSourceFilename=Tiles2.png,tileSourceCol=0,tileSourceRow=15,tileWidth=32,tileHeight=32,tileCollides=True
BWall:tileSourceFilename=Tiles2.png,tileSourceCol=18,tileSourceRow=1,tileWidth=32,tileHeight=32,tileCollides=True
Boss1:tileSourceFilename=Tiles2.png,tileSourceCol=10,tileSourceRow=0,tileWidth=32,tileHeight=32,tileCollides=True
Boss2:tileSourceFilename=Tiles2.png,tileSourceCol=13,tileSourceRow=4,tileWidth=32,tileHeight=32,tileCollides=True
Csl:tileSourceFilename=Tiles2.png,tileSourceCol=0,tileSourceRow=12,tileWidth=32,tileHeight=32,tileCollides=True
Csl2:tileSourceFilename=Tiles2.png,tileSourceCol=1,tileSourceRow=12,tileWidth=32,tileHeight=32,tileCollides=True
Csl3:tileSourceFilename=Tiles2.png,tileSourceCol=4,tileSourceRow=12,tileWidth=32,tileHeight=32,tileCollides=True
Csl4:tileSourceFilename=Tiles2.png,tileSourceCol=3,tileSourceRow=12,tileWidth=32,tileHeight=32,tileCollides=True
DBWall:tileSourceFilename=Tiles2.png,tileSourceCol=16,tileSourceRow=2,tileWidth=32,tileHeight=32,tileCollides=True
DLock:tileSourceFilename=Tiles2.png,tileSourceCol=9,tileSourceRow=5,tileWidth=32,tileHeight=32,tileCollides=True
DUnlock:tileSourceFilename=Tiles2.png,tileSourceCol=10,tileSourceRow=5,tileWidth=32,tileHeight=32,tileCollides=True
DdDoor:tileSourceFilename=Tiles2.png,tileSourceCol=16,tileSourceRow=6,tileWidth=32,tileHeight=32,tileCollides=True
DdGd:tileSourceFilename=Tiles2.png,tileSourceCol=22,tileSourceRow=1,tileWidth=32,tileHeight=32,tileCollides=True
Dungeon:tileSourceFilename=Tiles2.png,tileSourceCol=15,tileSourceRow=0,tileWidth=32,tileHeight=32,tileCollides=True
FTN:tileSourceFilename=Tiles2.png,tileSourceCol=7,tileSourceRow=12,tileWidth=32,tileHeight=32,tileCollides=True
Gd:tileSourceFilename=Tiles2.png,tileSourceCol=0,tileSourceRow=0,tileWidth=32,tileHeight=32,tileCollides=True
Gd2:tileSourceFilename=Tiles2.png,tileSourceCol=22,tileSourceRow=0,tileWidth=32,tileHeight=32,tileCollides=True
LGd:tileSourceFilename=Tiles2.png,tileSourceCol=7,tileSourceRow=0,tileWidth=32,tileHeight=32,tileCollides=True
MTN:tileSourceFilename=Tiles2.png,tileSourceCol=6,tileSourceRow=11,tileWidth=32,tileHeight=32,tileCollides=True
Penta:tileSourceFilename=Tiles2.png,tileSourceCol=12,tileSourceRow=4,tileWidth=32,tileHeight=32,tileCollides=True
Start:tileSourceFilename=Tiles2.png,tileSourceCol=12,tileSourceRow=15,tileWidth=32,tileHeight=32,tileCollides=True
Stat:tileSourceFilename=Tiles2.png,tileSourceCol=17,tileSourceRow=17,tileWidth=32,tileHeight=32,tileCollides=True
Statue:tileSourceFilename=Tiles2.png,tileSourceCol=18,tileSourceRow=17,tileWidth=32,tileHeight=32,tileCollides=True
Town:tileSourceFilename=Tiles2.png,tileSourceCol=6,tileSourceRow=12,tileWidth=32,tileHeight=32,tileCollides=True
Trash:tileSourceFilename=trash.png,tileSourceCol=0,tileSourceRow=0,tileWidth=32,tileHeight=32,tileCollides=True
Tree:tileSourceFilename=Tiles2.png,tileSourceCol=0,tileSourceRow=1,tileWidth=32,tileHeight=32,tileCollides=True
Wall:tileSourceFilename=Tiles2.png,tileSourceCol=13,tileSourceRow=0,tileWidth=32,tileHeight=32,tileCollides=True
Wall2:tileSourceFilename=Tiles2.png,tileSourceCol=22,tileSourceRow=1,tileWidth=32,tileHeight=32,tileCollides=True
Water:tileSourceFilename=Tiles2.png,tileSourceCol=21,tileSourceRow=3,tileWidth=32,tileHeight=32,tileCollides=True
Water2:tileSourceFilename=Tiles2.png,tileSourceCol=22,tileSourceRow=3,tileWidth=32,tileHeight=32,tileCollides=True
Water3:tileSourceFilename=Tiles2.png,tileSourceCol=0,tileSourceRow=4,tileWidth=32,tileHeight=32,tileCollides=True
WdGd:tileSourceFilename=Tiles2.png,tileSourceCol=17,tileSourceRow=2,tileWidth=32,tileHeight=32,tileCollides=True
